NAME,LINK,DESCRIPTION,ChatGPT_RQ1,Priority,Final_Result,Rationale
FileExistsException: Destination .. already exists when DiskFileItem.write was given an existing file,https://issues.apache.org/jira/browse/FILEUPLOAD-293,"Since 1.4, where FILEUPLOAD-248 was shipped, passing an existing file to DiskFileItem.write will cause an FileExistsException with the message ""Destination FILE already exist"", this prevents us from upgrading to 1.4 from 1.3.3. 



2019-02-20 01:12:56,504 http-nio-2990-exec-3 ERROR [|5ccb9b99-a96f-42ba-ad01-ac278516e1a4|] [IssueAttachmentsResource.privacy-safe] Error saving attachment 
org.apache.commons.io.FileExistsException: Destination '/buildeng/bamboo-agent-home/xml-data/build-dir/CLOUDRELEASE-AGILEWD15421-FT18/jira-test-runner-jira/target/cargo/configurations/tomcat9x/temp/attachment-3404789743778163937.tmp' already exists 
{{ at org.apache.commons.io.FileUtils.moveFile(FileUtils.java:3001)}} 
{{ at org.apache.commons.fileupload.disk.DiskFileItem.write(DiskFileItem.java:405)}} 
{{ at com.atlassian.plugins.rest.common.multipart.fileupload.CommonsFileUploadFilePart.write(CommonsFileUploadFilePart.java:49)}} 
{{ at com.atlassian.jira.rest.v2.issue.IssueAttachmentsResource.getFileFromFilePart(IssueAttachmentsResource.java:175)}} 
... 



Apache Felix also ran into the same bug: 
https://issues.apache.org/jira/browse/FELIX-6037","B: Since version 1.4, passing an existing file to DiskFileItem.write causes a FileExistsException with the message ""Destination FILE already exist"".

B: The FileExistsException prevents upgrading from version 1.3.3 to 1.4.

B: An error occurs when saving an attachment, specifically indicating that the destination file already exists.

B: The error log shows that the exception originates from the moveFile method in FileUtils.java.

B: The bug has also been reported in Apache Felix, linked to issue FELIX-6037.",Major,FALSE,Over-decomposition
Fix serialization of structs containing Fixed fields,https://issues.apache.org/jira/browse/AVRO-3631,"Consider the following minimal Avro Schema: 

{ 
""type"": ""record"", 
""name"": ""TestStructFixedField"", 
""fields"": [ 
{ 
""name"": ""field"", 
""type"": { 
""name"": ""field"", 
""type"": ""fixed"", 
""size"": 6 
} 
} 
] 
} 
In Rust, I might represent this schema with the following struct: 

#[derive(Debug, Serialize, Deserialize)] 
struct TestStructFixedField { 
field: [u8; 6] 
} 
I would then expect to be able to use `apache_avro::to_avro_datum()` to convert an instance of `TestStructFixedField` into an `Vec<u8>` using an instance of `Schema` initialized from the schema listed above. 

However, this fails because the `Value` produced by `apache_avro::to_value()` represents `field` as an `Value::Array<Value::Int>` rather than a `Value::Fixed<6, Vec<u8>` which does not pass schema validation. 

I believe that there are two options to fix this: 
1. Allow Value::Array<Vec<Value::Int>> to pass validation if the array has the expected length, and none of the contents of the array are out-of-range for u8. If we go down this route, the implementation of `to_avro_datum()` will have to take care of converting Value::Int to u8 when converting into bytes. 
2. Update `apache_avro::to_value()` such that fixed length arrays are converted into `Value::Fixed<N, Vec<u8>>` rather than `Value::Array`.","B: The `apache_avro::to_value()` function produces a `Value::Array<Value::Int>` for fixed fields, which should instead produce `Value::Fixed<6, Vec<u8>>`.  

B: The schema validation fails because the `Value` produced does not match the expected type for fixed fields.  

B: Implement a solution to allow `Value::Array<Vec<Value::Int>>` to pass validation if the array has the expected length and contains valid u8 values.  

B: Modify the `to_avro_datum()` implementation to convert `Value::Int` to `u8` when converting into bytes.  

B: Update `apache_avro::to_value()` to ensure fixed-length arrays are converted into `Value::Fixed<N, Vec<u8>>` instead of `Value::Array`.",Major,FALSE,Over-decomposition
Enabling ranger plugin config should modify dependent configs,https://issues.apache.org/jira/browse/AMBARI-9626,"Changes required for enabling Ranger plugin 
HDFS 

Property Value File 
dfs.permissions.enabled true hdfs-site.xml 
HIVE 

Property Value File 
hive.security.authorization.enabled true hive-site.xml 
hive.security.authorization.manager com.xasecure.authorization.hive.authorizer.XaSecureHiveAuthorizerFactory hiveserver2-site.xml 
hive.security.authenticator.manager org.apache.hadoop.hive.ql.security.SessionStateUserAuthenticator hiveserver2-site.xml 
hive.conf.restricted.list Must contain all elements of hive.security.authorization.enabled, hive.security.authorization.manager,hive.security.authenticator.manager hive-site.xml 
HBASE 

Property Value File 
hbase.security.authorization true hbase-site.xml 
hbase.coprocessor.master.classes Replace org.apache.hadoop.hbase.security.access.AccessController with com.xasecure.authorization.hbase.XaSecureAuthorizationCoprocessor and add if not present hbase-site.xml 
hbase.coprocessor.region.classes Replace org.apache.hadoop.hbase.security.access.AccessController with com.xasecure.authorization.hbase.XaSecureAuthorizationCoprocessor hbase-site.xml 
hbase.rpc.protection privacy hbase-site.xml 
KNOX 
Replace instances of AclsAuthz with XASecurePDPKnox in topology.xml 

STORM 

Property Value File 
nimbus.authorizer com.xasecure.authorization.storm.authorizer.XaSecureStormAuthorizer storm.yaml 
Note that nimbus.authorizer should be added only when the cluster is already Kerberized; having this property in a non-Kerberized cluster causes Storm to fail. 

Changes required for disabling Ranger plugin 
HDFS 

Property Value File 
HIVE 

Property Value File 
hive.security.authorization.manager org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd.SQLStdHiveAuthorizerFactory hiveserver2-site.xml 
hive.security.authenticator.manager org.apache.hadoop.hive.ql.security.SessionStateUserAuthenticator hiveserver2-site.xml 
HBASE 

Property Value File 
hbase.coprocessor.master.classes Remove com.xasecure.authorization.hbase.XaSecureAuthorizationCoprocessor hbase-site.xml 
hbase.coprocessor.region.classes Remove com.xasecure.authorization.hbase.XaSecureAuthorizationCoprocessor hbase-site.xml 
hbase.rpc.protection authentication hbase-site.xml 
KNOX 
Replace instance of XASecurePDPKnox with AclsAuthz in topology.xml 

STORM 

Property Value File 
nimbus.authorizer backtype.storm.security.auth.authorizer.SimpleACLAuthorizer com.xasecure.authorization.storm.authorizer.XaSecureStormAuthorizer storm.yaml 
Note that nimbus.authorizer should be added only when the cluster is already Kerberized; having this property in a non-Kerberized cluster causes Storm to fail.","B: Changes required for enabling Ranger plugin in HDFS: Set dfs.permissions.enabled to true in hdfs-site.xml.  
B: Changes required for enabling Ranger plugin in HIVE: Set hive.security.authorization.enabled to true in hive-site.xml.  
B: Changes required for enabling Ranger plugin in HIVE: Set hive.security.authorization.manager to com.xasecure.authorization.hive.authorizer.XaSecureHiveAuthorizerFactory in hiveserver2-site.xml.  
B: Changes required for enabling Ranger plugin in HIVE: Set hive.security.authenticator.manager to org.apache.hadoop.hive.ql.security.SessionStateUserAuthenticator in hiveserver2-site.xml.  
B: Changes required for enabling Ranger plugin in HIVE: Ensure hive.conf.restricted.list contains hive.security.authorization.enabled, hive.security.authorization.manager, and hive.security.authenticator.manager in hive-site.xml.  
B: Changes required for enabling Ranger plugin in HBASE: Set hbase.security.authorization to true in hbase-site.xml.  
B: Changes required for enabling Ranger plugin in HBASE: Replace org.apache.hadoop.hbase.security.access.AccessController with com.xasecure.authorization.hbase.XaSecureAuthorizationCoprocessor in hbase-site.xml for hbase.coprocessor.master.classes.  
B: Changes required for enabling Ranger plugin in HBASE: Replace org.apache.hadoop.hbase.security.access.AccessController with com.xasecure.authorization.hbase.XaSecureAuthorizationCoprocessor in hbase-site.xml for hbase.coprocessor.region.classes.  
B: Changes required for enabling Ranger plugin in HBASE: Set hbase.rpc.protection to privacy in hbase-site.xml.  
B: Changes required for enabling Ranger plugin in KNOX: Replace instances of AclsAuthz with XASecurePDPKnox in topology.xml.  
B: Changes required for enabling Ranger plugin in STORM: Set nimbus.authorizer to com.xasecure.authorization.storm.authorizer.XaSecureStormAuthorizer in storm.yaml, only if the cluster is already Kerberized.  

B: Changes required for disabling Ranger plugin in HIVE: Set hive.security.authorization.manager to org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd.SQLStdHiveAuthorizerFactory in hiveserver2-site.xml.  
B: Changes required for disabling Ranger plugin in HBASE: Remove com.xasecure.authorization.hbase.XaSecureAuthorizationCoprocessor from hbase-site.xml for hbase.coprocessor.master.classes.  
B: Changes required for disabling Ranger plugin in HBASE: Remove com.xasecure.authorization.hbase.XaSecureAuthorizationCoprocessor from hbase-site.xml for hbase.coprocessor.region.classes.  
B: Changes required for disabling Ranger plugin in HBASE: Set hbase.rpc.protection to authentication in hbase-site.xml.  
B: Changes required for disabling Ranger plugin in KNOX: Replace instance of XASecurePDPKnox with AclsAuthz in topology.xml.  
B: Changes required for disabling Ranger plugin in STORM: Set nimbus.authorizer to backtype.storm.security.auth.authorizer.SimpleACLAuthorizer in storm.yaml, only if the cluster is already Kerberized.",Major,FALSE,Over-decomposition
KnoxSSO broken on recent Chrome browsers (version > 80),https://issues.apache.org/jira/browse/KNOX-2387,"Google chrome changed the default behavior of SameSite parameter in Set-Cookie header from None to Lax. This causes partial breakage of Knox SSO. 

Details about Chrome browser feature - https://www.chromestatus.com/feature/5088147346030592 

How it affects - https://support.okta.com/help/s/article/FAQ-How-Chrome-80-Update-for-SameSite-by-default-Potentially-Impacts-Your-Okta-Environment","B: Google Chrome changed the default behavior of the SameSite parameter in the Set-Cookie header from None to Lax.

B: This change causes partial breakage of Knox SSO.",Major,FALSE,Over-decomposition
"Infinite loop on server disconnect",https://issues.apache.org/jira/browse/HTTPCORE-528,"I am seeing HTTP NIO client get into an infinite loop after the server disconnections the connection. See the log output attached; note some content removed for privacy. 



Note that the HttpAsyncClient has returned the response and the application has completely processed it. The client maintains the connection, as expected, since the response included `Keep-Alive: timeout=5`. Five seconds after everything is complete, the server closes the TCP connection. The client reacts accordingly: the selector wakes up, does a read of -1 bytes, closes the session and sets a 1 second timeout to close the connection in. 



The infinite loop occurs because the selector.select() call constantly returns in AbstractIOReactor.execute() 

readyCount == 1, so events are processed 

processEvent() notes the key is readable and calls: 

session.resetLastRead() 

readable(key); 

Because resetLastRead() is constantly updated, the 1 second timeout is never reached and AbstractIOReactor.timeoutCheck() can never call sessionTimedOut() or close the connection. 



Note the entire time this is happening, netstat shows the connection is in CLOSE_WAIT state. The infinite loop continues until the OS keepalive timeout is reached and the connection is cleaned by the OS. 

I am not sure if this epoll / selector behavior is expected or not. However, I have replicated this issue in multiple environments. It seems like the async client should handle this by detecting the condition and closing the connection. 



Other notes from this infinite loop state: 

SSLIOSession.updateEventMask() never closes the session either since the state remains `CLOSING` 

AbstractIODispatch.inputReady() does not read any data from the connection since ssliosession.isAppInputReady() evaluates to false. 

SelectionKeyImpl.interestOps remains 1 (`OP_READ`)","B: HTTP NIO client enters an infinite loop after the server closes the TCP connection, preventing the connection from being closed properly.

B: The selector.select() call in AbstractIOReactor.execute() continuously returns readyCount == 1, causing events to be processed indefinitely.

B: The resetLastRead() method is constantly updated, preventing the 1 second timeout from being reached in the client.

B: The sessionTimedOut() method in AbstractIOReactor.timeoutCheck() is never called, resulting in the connection not being closed.

B: The netstat output shows the connection is in a CLOSE_WAIT state while the infinite loop is ongoing.

B: The SSLIOSession.updateEventMask() method does not close the session because the state remains CLOSING.

B: The AbstractIODispatch.inputReady() method does not read any data from the connection since ssliosession.isAppInputReady() evaluates to false.

B: The SelectionKeyImpl.interestOps remains set to 1 (OP_READ), indicating that the read interest is still active.",Major,FALSE,Over-decomposition
Improve the way job history files are managed,https://issues.apache.org/jira/browse/MAPREDUCE-323,"Today all the jobhistory files are dumped in one job-history folder. This can cause problems when there is a need to search the history folder (job-recovery etc). It would be nice if we group all the jobs under a user folder. So all the jobs for user amar will go in history-folder/amar/. Jobs can be categorized using various features like jobid, date, jobname etc but using username will make the search much more efficient and also will not result into namespace explosion.","B: Create a user-specific folder structure for job-history files, organizing them under a main history folder.  

B: Implement functionality to categorize job-history files by username, ensuring that all jobs for a user are stored in their respective folder.  

B: Ensure that the new folder structure does not lead to namespace explosion while maintaining efficient search capabilities.  

B: Develop a search feature that allows for efficient retrieval of job-history files based on the user folder structure.  

B: Assess the impact of categorizing job-history files by username on job recovery processes.",Critical,FALSE,Over-decomposition
Updated yajl-ruby ~> 1.3.1,https://issues.apache.org/jira/browse/SAMZA-1582,"Copying the reminder from Apache Security team:

Sign in
gstein,

We found a potential security vulnerability in a repository which you have been granted security alert access.

!https://ci4.googleusercontent.com/proxy/LhcZ7iaFoInSfQy1r_J1HOWPMTtxYnupwChIFTSA_wTfxDY3HgcGigfxusXNNAZ63YSBgrW9Ng_0lnJNyuw-HZe8OlzcTvPaKX4OXHI=s0-d-e1-ft#https://avatars3.githubusercontent.com/u/47359?s=56&v=4 width=28,height=28! apache/samza
Known high severity security vulnerability detected in {{yajl-ruby < 1.3.1}}defined in Gemfile.lock.
Gemfile.lock update suggested: yajl-ruby ~> 1.3.1.
Always verify the validity and compatibility of suggestions with your codebase.

Review vulnerable dependency
Only users who have been assigned access to security alerts will receive these notifications.
Unsubscribe ¡¤ Email preferences ¡¤ Terms ¡¤ Privacy ¡¤ Sign into GitHub
GitHub, Inc. 
88 Colin P Kelly Jr St. 
San Francisco, CA 94107

{quote}","B: Known high severity security vulnerability detected in {{yajl-ruby < 1.3.1}} defined in Gemfile.lock.  
B: Gemfile.lock update suggested: yajl-ruby ~> 1.3.1.  
B: Always verify the validity and compatibility of suggestions with your codebase.",Major,FALSE,Over-decomposition
Fix HBASE-22492 on branch-2 (SASL GapToken),https://issues.apache.org/jira/browse/HBASE-25586,"The issue is also exist on branch-2. 

17:27:41.556 [pool-1-thread-8] WARN org.apache.hadoop.hbase.client.ScannerCallable - Ignore, probably already closed. Current scan: {""startRow"":""19999999"",""stopRow"":"""",""batch"":20,""cacheBlocks"":true,""totalColumns"":0,""maxResultSize"":""2097152"",""families"":{},""caching"":2147483647,""maxVersions"":1,""timeRange"":[""0"",""9223372036854775807""]} on table: cluster_test 
javax.security.sasl.SaslException: Call to XXX/172.27.162.2:22101 failed on local exception: javax.security.sasl.SaslException: Gap token 
at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) 
at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62) 
at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45) 
at java.lang.reflect.Constructor.newInstance(Constructor.java:423) 
at org.apache.hadoop.hbase.ipc.IPCUtil.wrapException(IPCUtil.java:224) 
at org.apache.hadoop.hbase.ipc.AbstractRpcClient.onCallFinished(AbstractRpcClient.java:383) 
at org.apache.hadoop.hbase.ipc.AbstractRpcClient.access$100(AbstractRpcClient.java:89) 
at org.apache.hadoop.hbase.ipc.AbstractRpcClient$3.run(AbstractRpcClient.java:414) 
at org.apache.hadoop.hbase.ipc.AbstractRpcClient$3.run(AbstractRpcClient.java:410) 
at org.apache.hadoop.hbase.ipc.Call.callComplete(Call.java:117) 
at org.apache.hadoop.hbase.ipc.Call.setException(Call.java:132) 
at org.apache.hadoop.hbase.ipc.NettyRpcDuplexHandler.cleanupCalls(NettyRpcDuplexHandler.java:203) 
at org.apache.hadoop.hbase.ipc.NettyRpcDuplexHandler.exceptionCaught(NettyRpcDuplexHandler.java:220) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeExceptionCaught(AbstractChannelHandlerContext.java:302) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeExceptionCaught(AbstractChannelHandlerContext.java:281) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.fireExceptionCaught(AbstractChannelHandlerContext.java:273) 
at org.apache.hbase.thirdparty.io.netty.channel.ChannelInboundHandlerAdapter.exceptionCaught(ChannelInboundHandlerAdapter.java:143) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeExceptionCaught(AbstractChannelHandlerContext.java:302) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:381) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:365) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:357) 
at org.apache.hbase.thirdparty.io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:324) 
at org.apache.hbase.thirdparty.io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:296) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:379) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:365) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:357) 
at org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1410) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:379) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:365) 
at org.apache.hbase.thirdparty.io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:919) 
at org.apache.hbase.thirdparty.io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:166) 
at org.apache.hbase.thirdparty.io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:714) 
at org.apache.hbase.thirdparty.io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:650) 
at org.apache.hbase.thirdparty.io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:576) 
at org.apache.hbase.thirdparty.io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:493) 
at org.apache.hbase.thirdparty.io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:989) 
at org.apache.hbase.thirdparty.io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74) 
at org.apache.hbase.thirdparty.io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30) 
at java.lang.Thread.run(Thread.java:748) 
Caused by: javax.security.sasl.SaslException: Gap token 
at com.sun.security.sasl.gsskerb.GssKrb5Base.checkMessageProp(GssKrb5Base.java:142) 
at com.sun.security.sasl.gsskerb.GssKrb5Base.unwrap(GssKrb5Base.java:81) 
at org.apache.hadoop.hbase.security.SaslUnwrapHandler.channelRead0(SaslUnwrapHandler.java:52) 
at org.apache.hadoop.hbase.security.SaslUnwrapHandler.channelRead0(SaslUnwrapHandler.java:33) 
at org.apache.hbase.thirdparty.io.netty.channel.SimpleChannelInboundHandler.channelRead(SimpleChannelInboundHandler.java:99) 
at org.apache.hbase.thirdparty.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:379) 
... 20 common frames omitted 
The is can be reproduced with the attached code. hbase.rpc.protection must be set to integrity or privacy.","B: The issue exists on branch-2.

B: A warning is logged indicating that a scan is being ignored because it is probably already closed, with the following details: {""startRow"":""19999999"",""stopRow"":"""",""batch"":20,""cacheBlocks"":true,""totalColumns"":0,""maxResultSize"":""2097152"",""families"":{},""caching"":2147483647,""maxVersions"":1,""timeRange"":[""0"",""9223372036854775807""]} on table: cluster_test.

B: A javax.security.sasl.SaslException occurs with the message ""Call to XXX/172.27.162.2:22101 failed on local exception: javax.security.sasl.SaslException: Gap token"".

B: The error stack trace shows multiple calls leading to the exception in IPCUtil.wrapException and AbstractRpcClient.onCallFinished.

B: The bug can be reproduced with the attached code, and it requires that hbase.rpc.protection must be set to integrity or privacy.",Major,FALSE,Over-decomposition
CgroupsAnyHierarchyWithPerfEventTest.ROOT_CGROUPS_PERF_PerfTest is broken on Fedora 25.,https://issues.apache.org/jira/browse/MESOS-7049,"Test output: 

[==========] Running 1 test from 1 test case. 
[----------] Global test environment set-up. 
[----------] 1 test from CgroupsAnyHierarchyWithPerfEventTest 
[ RUN ] CgroupsAnyHierarchyWithPerfEventTest.ROOT_CGROUPS_PERF_PerfTest 
../../src/tests/containerizer/cgroups_tests.cpp:1020: Failure 
(statistics).failure(): Failed to parse perf sample: Failed to parse perf sample line '6186960975,,cycles,mesos_test,2000511515,100.00,3.093,GHz': Unexpected number of fields 
../../src/tests/containerizer/cgroups_tests.cpp:193: Failure 
(cgroups::destroy(hierarchy, cgroup)).failure(): Failed to remove cgroup '/sys/fs/cgroup/perf_event/mesos_test': Device or resource busy 
[ FAILED ] CgroupsAnyHierarchyWithPerfEventTest.ROOT_CGROUPS_PERF_PerfTest (2123 ms) 
[----------] 1 test from CgroupsAnyHierarchyWithPerfEventTest (2123 ms total) 

[----------] Global test environment tear-down 
../../src/tests/environment.cpp:836: Failure 
Failed 
Tests completed with child processes remaining: 
-+- 20455 /home/jpeach/upstream/mesos/build/src/.libs/mesos-tests --verbose --gtest_filter=CgroupsAnyHierarchyWithPerfEventTest.ROOT_CGROUPS_PERF_PerfTest 
\--- 20500 /home/jpeach/upstream/mesos/build/src/.libs/mesos-tests --verbose --gtest_filter=CgroupsAnyHierarchyWithPerfEventTest.ROOT_CGROUPS_PERF_PerfTest 
[==========] 1 test from 1 test case ran. (2141 ms total) 
[ PASSED ] 0 tests. 
[ FAILED ] 1 test, listed below: 
[ FAILED ] CgroupsAnyHierarchyWithPerfEventTest.ROOT_CGROUPS_PERF_PerfTest 
Software versions: 

[jpeach@jpeach src]$ uname -a 
Linux jpeach.apple.com 4.9.6-200.fc25.x86_64 #1 SMP Thu Jan 26 10:17:45 UTC 2017 x86_64 x86_64 x86_64 GNU/Linux 
[jpeach@jpeach src]$ perf -v 
perf version 4.9.6.200.fc25.x86_64.g51a0 
[jpeach@jpeach src]$ cat /etc/os-release 
NAME=Fedora 
VERSION=""25 (Workstation Edition)"" 
ID=fedora 
VERSION_ID=25 
PRETTY_NAME=""Fedora 25 (Workstation Edition)"" 
ANSI_COLOR=""0;34"" 
CPE_NAME=""cpe:/o:fedoraproject:fedora:25"" 
HOME_URL=""https://fedoraproject.org/"" 
BUG_REPORT_URL=""https://bugzilla.redhat.com/"" 
REDHAT_BUGZILLA_PRODUCT=""Fedora"" 
REDHAT_BUGZILLA_PRODUCT_VERSION=25 
REDHAT_SUPPORT_PRODUCT=""Fedora"" 
REDHAT_SUPPORT_PRODUCT_VERSION=25 
PRIVACY_POLICY_URL=https://fedoraproject.org/wiki/Legal:PrivacyPolicy 
VARIANT=""Workstation Edition"" 
VARIANT_ID=workstation 
The test then fails to clean up, leaving stale processes and cgroups.","B: ../../src/tests/containerizer/cgroups_tests.cpp:1020: Failure (statistics).failure(): Failed to parse perf sample: Failed to parse perf sample line '6186960975,,cycles,mesos_test,2000511515,100.00,3.093,GHz': Unexpected number of fields.  
B: ../../src/tests/containerizer/cgroups_tests.cpp:193: Failure (cgroups::destroy(hierarchy, cgroup)).failure(): Failed to remove cgroup '/sys/fs/cgroup/perf_event/mesos_test': Device or resource busy.  
B: Tests completed with child processes remaining: -+- 20455 /home/jpeach/upstream/mesos/build/src/.libs/mesos-tests --verbose --gtest_filter=CgroupsAnyHierarchyWithPerfEventTest.ROOT_CGROUPS_PERF_PerfTest \--- 20500 /home/jpeach/upstream/mesos/build/src/.libs/mesos-tests --verbose --gtest_filter=CgroupsAnyHierarchyWithPerfEventTest.ROOT_CGROUPS_PERF_PerfTest.  
B: The test then fails to clean up, leaving stale processes and cgroups.",Major,FALSE,Over-decomposition
NoClassDefFoundError: org/apache/hadoop/hive/ql/exec/vector/ColumnVector,https://issues.apache.org/jira/browse/RANGER-4178,"Observed below error when enabled audit type as ORC format. 

NoClassDefFoundError: org/apache/hadoop/hive/ql/exec/vector/ColumnVector 

https://issues.apache.org/jira/browse/RANGER-1837 

https://issues.apache.org/jira/browse/RANGER-3235 

cc: rmani","B: Observed NoClassDefFoundError when enabled audit type as ORC format.  

B: The error indicates that the class org/apache/hadoop/hive/ql/exec/vector/ColumnVector is not found. 

B: Investigate if the necessary dependencies for the ORC format are included in the project. 

B: Check if the correct version of Hadoop is being used that contains the required class.",Critical,FALSE,Over-decomposition
